Academic Term,Term Value,Queried Subject,Class Code,Class Nbr,Course Title,Units,Teaching Staff,Quota(s),Vacancy,Course Component,Section Code,Language,Period,Room,Meeting Date,Add Consent,Drop Consent,Course Offering Dept
2026-27 Term 1,2420,CURE,CURE1004-,8199,Intro to Public Humanities 公共人文學導論,3.00,- Professor LI Cho Kiu,30,30,TUT,-T02,E,Mo 11:30AM - 12:15PM,ERB_408,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",Yes,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1004-,8199,Intro to Public Humanities 公共人文學導論,3.00,- Professor LI Cho Kiu,30,30,TUT,-T03,E,Mo 11:30AM - 12:15PM,ERB_402,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",Yes,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1004-,8199,Intro to Public Humanities 公共人文學導論,3.00,- Professor LI Cho Kiu,30,30,TUT,-T03,E,Mo 11:30AM - 12:15PM,ERB_402,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",Yes,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,65,65,LEC,-,C&E,Th 10:30AM - 12:15PM,WMY_506,"9/10, 9/17, 9/24",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,65,65,LEC,-,C&E,Th 10:30AM - 12:15PM,WMY_506,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,65,65,TUT,-T01,C&E,Th 12:30PM - 01:15PM,WMY_506,"9/10, 9/17, 9/24",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,65,65,TUT,-T01,C&E,Th 12:30PM - 01:15PM,WMY_506,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,30,30,TUT,-T02,C&E,Th 12:30PM - 01:15PM,YIA_404,"9/10, 9/17, 9/24",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,30,30,TUT,-T02,C&E,Th 12:30PM - 01:15PM,YIA_404,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,30,30,TUT,-T03,C&E,Th 12:30PM - 01:15PM,YIA_501,"9/10, 9/17, 9/24",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1110-,8201,Religion and Contemporary Life 宗教與當代生活,3.00,- Professor YEUNG Kwok Keung,30,30,TUT,-T03,C&E,Th 12:30PM - 01:15PM,YIA_501,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1123-,8376,World Religions 世界宗教,3.00,- Professor James D FRANKEL,30,30,LEC,-,E,We 02:30PM - 04:15PM,LSK_302,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1123-,8376,World Religions 世界宗教,3.00,- Professor James D FRANKEL,30,30,TUT,-T01,E,We 04:30PM - 05:15PM,LSK_302,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1123-,8376,World Religions 世界宗教,3.00,- Professor James D FRANKEL,30,30,TUT,-T02,E,We 04:30PM - 05:15PM,ERB_713,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1124-,8380,Study of Christianity 基督宗教研究,3.00,- Professor LAI Pan Chiu,40,40,LEC,-,C&E,Tu 10:30AM - 12:15PM,YIA_503,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1124-,8380,Study of Christianity 基督宗教研究,3.00,- Professor LAI Pan Chiu,40,40,TUT,-T01,C&E,Tu 12:30PM - 01:15PM,YIA_503,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1124-,8380,Study of Christianity 基督宗教研究,3.00,- Professor LAI Pan Chiu,30,30,TUT,-T02,C&E,Tu 12:30PM - 01:15PM,YIA_409,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1401-,7041,Introduction to Cultural Mgt 文化管理概論,3.00,- Dr. CHIENG Wei Shieng,70,37,LEC,-,E,Mo 03:30PM - 06:15PM,WMY_403,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",Yes,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1401-,7041,Introduction to Cultural Mgt 文化管理概論,3.00,- Dr. CHIENG Wei Shieng,70,37,LEC,-,E,Mo 03:30PM - 06:15PM,WMY_403,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",Yes,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1403-,5319,Cultural Policy & Development 藝術發展及政策,3.00,- Staff,65,25,LEC,-,C&E,Th 10:30AM - 01:15PM,ELB_403,"9/10, 9/17, 9/24",Yes,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE1403-,5319,Cultural Policy & Development 藝術發展及政策,3.00,- Staff,65,25,LEC,-,C&E,Th 10:30AM - 01:15PM,ELB_403,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",Yes,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2006-,8392,Intro to Film and Screen Stud 電影與螢幕研究概要,3.00,- Dr. LI Tiecheng,50,50,LEC,-,P&E,Tu 10:30AM - 12:15PM,ELB_203,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2006-,8392,Intro to Film and Screen Stud 電影與螢幕研究概要,3.00,- Dr. LI Tiecheng,50,50,TUT,-T01,P&E,Tu 12:30PM - 01:15PM,ELB_203,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2006-,8392,Intro to Film and Screen Stud 電影與螢幕研究概要,3.00,- Dr. LI Tiecheng,30,30,TUT,-T02,P&E,Tu 12:30PM - 01:15PM,ARC_G02,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2022-,8394,Feminisms: Thoughts & Movement 女權主義：思想與運動,3.00,- Dr. PANG Ka Wei,40,39,LEC,-,C&E,We 10:30AM - 12:15PM,LSK_302,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2022-,8394,Feminisms: Thoughts & Movement 女權主義：思想與運動,3.00,- Dr. PANG Ka Wei,40,39,TUT,-T01,C&E,We 12:30PM - 01:15PM,LSK_302,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2022-,8394,Feminisms: Thoughts & Movement 女權主義：思想與運動,3.00,- Dr. PANG Ka Wei,30,30,TUT,-T02,C&E,We 12:30PM - 01:15PM,LSK_306,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,40,40,LEC,-,C&E,Mo 03:30PM - 05:15PM,LDS_214,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,40,40,LEC,-,C&E,Mo 03:30PM - 05:15PM,LDS_214,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,40,40,TUT,-T01,C&E,Mo 05:30PM - 06:15PM,LDS_214,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,40,40,TUT,-T01,C&E,Mo 05:30PM - 06:15PM,LDS_214,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,30,30,TUT,-T02,C&E,Mo 05:30PM - 06:15PM,LSK_204,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,30,30,TUT,-T02,C&E,Mo 05:30PM - 06:15PM,LSK_204,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,30,30,TUT,-T03,C&E,Mo 05:30PM - 06:15PM,LSK_206,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,30,30,TUT,-T03,C&E,Mo 05:30PM - 06:15PM,LSK_206,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,30,30,TUT,-T04,C&E,Mo 05:30PM - 06:15PM,LSK_202,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2030-,6626,Hong Kong Cinema 香港電影,3.00,- Dr. LI Mei Ting,30,30,TUT,-T04,C&E,Mo 05:30PM - 06:15PM,LSK_202,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2066-,8870,Foundation of Visual Design 視覺設計基礎,3.00,- Dr. LI Tiecheng,20,19,LEC,-,P&E,Th 02:30PM - 05:15PM,KKB_310,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2066-,8870,Foundation of Visual Design 視覺設計基礎,3.00,- Dr. LI Tiecheng,20,19,LEC,-,P&E,Th 02:30PM - 05:15PM,KKB_310,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2112-,6630,"Myth, Symbol and Ritual 神話、象徵與儀式",3.00,- Dr. CHOW Wai Yin,45,45,LEC,-,C&E,Th 02:30PM - 04:15PM,LDS_214,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2112-,6630,"Myth, Symbol and Ritual 神話、象徵與儀式",3.00,- Dr. CHOW Wai Yin,45,45,LEC,-,C&E,Th 02:30PM - 04:15PM,LDS_214,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2112-,6630,"Myth, Symbol and Ritual 神話、象徵與儀式",3.00,- Dr. CHOW Wai Yin,45,45,TUT,-T01,C&E,Th 04:30PM - 05:15PM,LDS_214,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2112-,6630,"Myth, Symbol and Ritual 神話、象徵與儀式",3.00,- Dr. CHOW Wai Yin,45,45,TUT,-T01,C&E,Th 04:30PM - 05:15PM,LDS_214,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2112-,6630,"Myth, Symbol and Ritual 神話、象徵與儀式",3.00,- Dr. CHOW Wai Yin,30,30,TUT,-T02,C&E,Th 04:30PM - 05:15PM,LSK_514,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2112-,6630,"Myth, Symbol and Ritual 神話、象徵與儀式",3.00,- Dr. CHOW Wai Yin,30,30,TUT,-T02,C&E,Th 04:30PM - 05:15PM,LSK_514,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2160-,6632,Sp Topics in Religion & Cul 專題研究——宗教與文化,3.00,- Dr. CHEUNG Tak Ching Neky,45,45,LEC,-,C&E,Th 10:30AM - 12:15PM,LDS_214,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2160-,6632,Sp Topics in Religion & Cul 專題研究——宗教與文化,3.00,- Dr. CHEUNG Tak Ching Neky,45,45,LEC,-,C&E,Th 10:30AM - 12:15PM,LDS_214,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2160-,6632,Sp Topics in Religion & Cul 專題研究——宗教與文化,3.00,- Dr. CHEUNG Tak Ching Neky,45,45,TUT,-T01,C&E,Th 12:30PM - 01:15PM,LDS_214,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2160-,6632,Sp Topics in Religion & Cul 專題研究——宗教與文化,3.00,- Dr. CHEUNG Tak Ching Neky,45,45,TUT,-T01,C&E,Th 12:30PM - 01:15PM,LDS_214,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2160-,6632,Sp Topics in Religion & Cul 專題研究——宗教與文化,3.00,- Dr. CHEUNG Tak Ching Neky,25,25,TUT,-T02,C&E,Th 12:30PM - 01:15PM,LDS_218,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2160-,6632,Sp Topics in Religion & Cul 專題研究——宗教與文化,3.00,- Dr. CHEUNG Tak Ching Neky,25,25,TUT,-T02,C&E,Th 12:30PM - 01:15PM,LDS_218,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2163-,8203,Religion and Food 宗教與飲食,3.00,- Professor SIK Fa Ren,45,45,LEC,-,C&E,We 10:30AM - 12:15PM,LSK_212,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2163-,8203,Religion and Food 宗教與飲食,3.00,- Professor SIK Fa Ren,45,45,TUT,-T01,C&E,We 12:30PM - 01:15PM,LSK_212,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2163-,8203,Religion and Food 宗教與飲食,3.00,- Professor SIK Fa Ren,30,30,TUT,-T02,C&E,We 12:30PM - 01:15PM,ERB_404,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2170-,8205,Reading Religious Classics 宗教經典研讀,3.00,- Professor LAI Tsz Pang,45,36,LEC,-,C&E,Mo 02:30PM - 04:15PM,LHC_G06,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2170-,8205,Reading Religious Classics 宗教經典研讀,3.00,- Professor LAI Tsz Pang,45,36,LEC,-,C&E,Mo 02:30PM - 04:15PM,LHC_G06,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2170-,8205,Reading Religious Classics 宗教經典研讀,3.00,- Professor LAI Tsz Pang,45,36,TUT,-T01,C&E,Mo 04:30PM - 05:15PM,LHC_G06,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2170-,8205,Reading Religious Classics 宗教經典研讀,3.00,- Professor LAI Tsz Pang,45,36,TUT,-T01,C&E,Mo 04:30PM - 05:15PM,LHC_G06,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2170-,8205,Reading Religious Classics 宗教經典研讀,3.00,- Professor LAI Tsz Pang,30,30,TUT,-T02,C&E,Mo 04:30PM - 05:15PM,ERB_713,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2170-,8205,Reading Religious Classics 宗教經典研讀,3.00,- Professor LAI Tsz Pang,30,30,TUT,-T02,C&E,Mo 04:30PM - 05:15PM,ERB_713,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,Yes,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2181-,8207,Classical Arabic Beginners II 基礎古典阿拉伯文（二）,3.00,- Mr YANG Xing Wen,45,45,LEC,-,P&E,We 02:30PM - 04:15PM,LHC_G06,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2181-,8207,Classical Arabic Beginners II 基礎古典阿拉伯文（二）,3.00,- Mr YANG Xing Wen,45,45,TUT,-T01,P&E,We 04:30PM - 05:15PM,LHC_G06,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2181-,8207,Classical Arabic Beginners II 基礎古典阿拉伯文（二）,3.00,- Mr YANG Xing Wen,30,30,TUT,-T02,P&E,We 04:30PM - 05:15PM,ERB_408,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2404-,6636,Intro to Heritage Management 文化遺產管理導論,3.00,- Staff,30,30,LEC,-,C&E,Th 10:30AM - 12:15PM,LSK_302,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2404-,6636,Intro to Heritage Management 文化遺產管理導論,3.00,- Staff,30,30,LEC,-,C&E,Th 10:30AM - 12:15PM,LSK_302,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2404-,6636,Intro to Heritage Management 文化遺產管理導論,3.00,- Staff,30,30,TUT,-T01,C&E,Th 12:30PM - 01:15PM,LSK_302,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2404-,6636,Intro to Heritage Management 文化遺產管理導論,3.00,- Staff,30,30,TUT,-T01,C&E,Th 12:30PM - 01:15PM,LSK_302,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2404-,6636,Intro to Heritage Management 文化遺產管理導論,3.00,- Staff,20,20,TUT,-T02,C&E,Th 12:30PM - 01:15PM,LSK_206,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2404-,6636,Intro to Heritage Management 文化遺產管理導論,3.00,- Staff,20,20,TUT,-T02,C&E,Th 12:30PM - 01:15PM,LSK_206,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2409-,6644,Introduction to the Art Market 藝術市場導論,3.00,- Professor LEUNG Hok Bun Isaac,30,30,LEC,-,C&E,Th 02:30PM - 05:15PM,LSK_301,"9/10, 9/17, 9/24",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE2409-,6644,Introduction to the Art Market 藝術市場導論,3.00,- Professor LEUNG Hok Bun Isaac,30,30,LEC,-,C&E,Th 02:30PM - 05:15PM,LSK_301,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3014-,8264,Sp Topics in Cul Std IV 文化研究專題（四）,3.00,- Professor CHUNG Pei Chi,40,39,LEC,-,E,Mo 12:30PM - 02:15PM,LSK_302,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3014-,8264,Sp Topics in Cul Std IV 文化研究專題（四）,3.00,- Professor CHUNG Pei Chi,40,39,LEC,-,E,Mo 12:30PM - 02:15PM,LSK_302,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3014-,8264,Sp Topics in Cul Std IV 文化研究專題（四）,3.00,- Professor CHUNG Pei Chi,40,39,TUT,-T01,E,Mo 02:30PM - 03:15PM,LSK_302,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3014-,8264,Sp Topics in Cul Std IV 文化研究專題（四）,3.00,- Professor CHUNG Pei Chi,40,39,TUT,-T01,E,Mo 02:30PM - 03:15PM,LSK_302,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3014-,8264,Sp Topics in Cul Std IV 文化研究專題（四）,3.00,- Professor CHUNG Pei Chi,30,30,TUT,-T02,E,Mo 02:30PM - 03:15PM,LSK_301,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3014-,8264,Sp Topics in Cul Std IV 文化研究專題（四）,3.00,- Professor CHUNG Pei Chi,30,30,TUT,-T02,E,Mo 02:30PM - 03:15PM,LSK_301,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3034-,8211,Korean Media & Popular Culture 韓國媒體與大眾文化,3.00,- Professor LEE Yongwoo,27,27,LEC,-,E,Tu 02:30PM - 04:15PM,LSK_515,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3034-,8211,Korean Media & Popular Culture 韓國媒體與大眾文化,3.00,- Professor LEE Yongwoo,27,27,TUT,-T01,E,Tu 04:30PM - 05:15PM,LSK_515,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3034-,8211,Korean Media & Popular Culture 韓國媒體與大眾文化,3.00,- Professor LEE Yongwoo,30,30,TUT,-T02,E,Tu 04:30PM - 05:15PM,LSK_206,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3145-,8398,Buddhism and Contemporary Life 佛教與現代生活,3.00,- Staff,40,40,LEC,-,E,Mo 11:30AM - 01:15PM,LSK_514,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3145-,8398,Buddhism and Contemporary Life 佛教與現代生活,3.00,- Staff,40,40,LEC,-,E,Mo 11:30AM - 01:15PM,LSK_514,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3145-,8398,Buddhism and Contemporary Life 佛教與現代生活,3.00,- Staff,40,40,TUT,-T01,E,Mo 01:30PM - 02:15PM,LSK_514,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3145-,8398,Buddhism and Contemporary Life 佛教與現代生活,3.00,- Staff,40,40,TUT,-T01,E,Mo 01:30PM - 02:15PM,LSK_514,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3145-,8398,Buddhism and Contemporary Life 佛教與現代生活,3.00,- Staff,30,30,TUT,-T02,E,Mo 01:30PM - 02:15PM,LSK_202,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Cultural & Rel Studies
2026-27 Term 1,2420,CURE,CURE3145-,8398,Buddhism and Contemporary Life 佛教與現代生活,3.00,- Staff,30,30,TUT,-T02,E,Mo 01:30PM - 02:15PM,LSK_202,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Cultural & Rel Studies
