Academic Term,Term Value,Queried Subject,Class Code,Class Nbr,Course Title,Units,Teaching Staff,Quota(s),Vacancy,Course Component,Section Code,Language,Period,Room,Meeting Date,Add Consent,Drop Consent,Course Offering Dept
2026-27 Term 1,2420,ACCT,ACCT3111A,5580,Financial Reporting I 財務報告（一）,3.00,- Dr. GUAN Yanling,60,60,LEC,A,E,We 09:30AM - 12:15PM,CYT_209B,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3112A,5447,Financial Reporting II 財務報告（二）,3.00,- Professor Erik Thomas ELFRINK,60,60,LEC,A,E,We 02:30PM - 05:15PM,YIA_201,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3112B,7395,Financial Reporting II 財務報告（二）,3.00,- Professor Erik Thomas ELFRINK,60,60,LEC,B,E,Th 02:30PM - 05:15PM,ELB_302,"9/10, 9/17, 9/24",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3112B,7395,Financial Reporting II 財務報告（二）,3.00,- Professor Erik Thomas ELFRINK,60,60,LEC,B,E,Th 02:30PM - 05:15PM,ELB_302,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3112C,5939,Financial Reporting II 財務報告（二）,3.00,- Professor Erik Thomas ELFRINK,60,60,LEC,C,E,Mo 12:30PM - 03:15PM,ELB_401,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3112C,5939,Financial Reporting II 財務報告（二）,3.00,- Professor Erik Thomas ELFRINK,60,60,LEC,C,E,Mo 12:30PM - 03:15PM,ELB_401,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3121A,5581,Cost and Management Accounting 成本及管理會計,3.00,- Professor YIN Laiyi,50,50,LEC,A,E,We 02:30PM - 05:15PM,ARC_G04,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3121B,5582,Cost and Management Accounting 成本及管理會計,3.00,- Professor YIN Laiyi,50,50,LEC,B,E,Tu 09:30AM - 12:15PM,CYT_201,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3121C,9421,Cost and Management Accounting 成本及管理會計,3.00,- Professor YIN Laiyi,60,60,LEC,C,E,Th 09:30AM - 12:15PM,WMY_304,"9/10, 9/17, 9/24",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3121C,9421,Cost and Management Accounting 成本及管理會計,3.00,- Professor YIN Laiyi,60,60,LEC,C,E,Th 09:30AM - 12:15PM,WMY_304,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3142A,9689,Accounting Information Systems 會計資訊系統,3.00,- Dr. WONG Ka Lok,50,14,LEC,A,E,Mo 12:30PM - 03:15PM,ARC_G04,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3142A,9689,Accounting Information Systems 會計資訊系統,3.00,- Dr. WONG Ka Lok,50,14,LEC,A,E,Mo 12:30PM - 03:15PM,ARC_G04,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3142B,9601,Accounting Information Systems 會計資訊系統,3.00,- Dr. WONG Ka Lok,50,13,LEC,B,E,Tu 10:30AM - 01:15PM,ELB_206,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3151A,5677,Business Law 商業法,3.00,- Dr. LAW Man Wai Anthony,77,77,LEC,A,E,Tu 03:30PM - 06:15PM,SB_LT2,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3151B,5404,Business Law 商業法,3.00,- Dr. LAW Man Wai Anthony,76,76,LEC,B,E,Mo 09:30AM - 12:15PM,YIA_LT7,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3151B,5404,Business Law 商業法,3.00,- Dr. LAW Man Wai Anthony,76,76,LEC,B,E,Mo 09:30AM - 12:15PM,YIA_LT7,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3152A,7153,Company Law 公司法,3.00,- Dr. SO Lok Kan,65,65,LEC,A,E,Mo 09:30AM - 12:15PM,CKB_LT3,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3152A,7153,Company Law 公司法,3.00,- Dr. SO Lok Kan,65,65,LEC,A,E,Mo 09:30AM - 12:15PM,CKB_LT3,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3161A,5405,Taxation 稅務學,3.00,- Dr. BUTT Yiu Yu,60,60,LEC,A,E,Th 02:30PM - 05:15PM,ARC_G01,"9/10, 9/17, 9/24",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3161A,5405,Taxation 稅務學,3.00,- Dr. BUTT Yiu Yu,60,60,LEC,A,E,Th 02:30PM - 05:15PM,ARC_G01,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3161B,7154,Taxation 稅務學,3.00,- Dr. BUTT Yiu Yu,60,60,LEC,B,E,Mo 03:30PM - 06:15PM,ELB_203,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3161B,7154,Taxation 稅務學,3.00,- Dr. BUTT Yiu Yu,60,60,LEC,B,E,Mo 03:30PM - 06:15PM,ELB_203,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3241A,9764,Intro Python- BusAcctAnalytic 商業與會計分析的Python入門基礎,3.00,- Professor WU Fan,50,48,LEC,A,E,Th 09:30AM - 11:15AM,WMY_408,"9/10, 9/17, 9/24",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3241A,9764,Intro Python- BusAcctAnalytic 商業與會計分析的Python入門基礎,3.00,- Professor WU Fan,50,48,LEC,A,E,Th 09:30AM - 11:15AM,WMY_408,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3241A,9764,Intro Python- BusAcctAnalytic 商業與會計分析的Python入門基礎,3.00,- Professor WU Fan,50,48,TUT,AT01,E,Th 11:30AM - 12:15PM,WMY_408,"9/10, 9/17, 9/24",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT3241A,9764,Intro Python- BusAcctAnalytic 商業與會計分析的Python入門基礎,3.00,- Professor WU Fan,50,48,TUT,AT01,E,Th 11:30AM - 12:15PM,WMY_408,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4001A,7710,Cap Proj: Bus Ethics & Entrep 頂點項目：商業道德與企業研究,2.00,- Professor XU Ruoxi,30,30,PRJ,AJ01,E,We 12:30PM - 02:15PM,ARC_G02,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4001B,7711,Cap Proj: Bus Ethics & Entrep 頂點項目：商業道德與企業研究,2.00,- Professor XU Ruoxi,30,30,PRJ,BJ01,E,We 02:30PM - 04:15PM,ARC_G02,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4111A,9628,Advanced Financial Accounting 高級財務會計,3.00,- Mr. LEUNG Yiu Wing Eric,50,50,LEC,A,E,We 09:30AM - 12:15PM,YIA_201,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4111B,9629,Advanced Financial Accounting 高級財務會計,3.00,- Mr. LEUNG Yiu Wing Eric,50,50,LEC,B,E,Tu 10:30AM - 01:15PM,YIA_201,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4111C,9521,Advanced Financial Accounting 高級財務會計,3.00,- Mr. LEUNG Yiu Wing Eric,50,50,LEC,C,E,Mo 09:30AM - 12:15PM,YIA_201,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4111C,9521,Advanced Financial Accounting 高級財務會計,3.00,- Mr. LEUNG Yiu Wing Eric,50,50,LEC,C,E,Mo 09:30AM - 12:15PM,YIA_201,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4131A,5653,Auditing 審計學,3.00,- Professor ZHAO Meiling,53,53,LEC,A,E,Mo 12:30PM - 03:15PM,WMY_403,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4131A,5653,Auditing 審計學,3.00,- Professor ZHAO Meiling,53,53,LEC,A,E,Mo 12:30PM - 03:15PM,WMY_403,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4131B,5845,Auditing 審計學,3.00,- Professor ZHAO Meiling,47,47,LEC,B,E,Tu 03:30PM - 06:15PM,CYT_215,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4131C,9291,Auditing 審計學,3.00,- Professor ZHAO Meiling,50,50,LEC,C,E,Tu 11:30AM - 02:15PM,WMY_303,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4215A,7079,Cont Acct Iss in Global Market 全球市場中的當代會計問題,3.00,- Mr. LEUNG Yiu Wing Eric,50,50,LEC,A,E,Th 11:30AM - 02:15PM,LSK_LT3,"9/10, 9/17, 9/24",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4215A,7079,Cont Acct Iss in Global Market 全球市場中的當代會計問題,3.00,- Mr. LEUNG Yiu Wing Eric,50,50,LEC,A,E,Th 11:30AM - 02:15PM,LSK_LT3,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT4244A,9558,Blockchain Fund'tal for Acct 會計師區塊鏈基礎知識,3.00,- Professor XU Ruoxi,50,50,LEC,A,E,Th 02:30PM - 05:15PM,ELB_205,"9/10, 9/17, 9/24",,,Sch of Accountancy
